Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1451     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::erase(std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>)
  0.00      0.00     0.00     1451     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::erase(std::__detail::_Node_const_iterator<std::pair<unsigned int const, session_value>, false, false>)
  0.00      0.00     0.00     1451     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_erase(unsigned long, std::__detail::_Hash_node_base*, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00     1451     0.00     0.00  std::unordered_map<unsigned int, session_value, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, session_value> > >::erase(std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>)
  0.00      0.00     0.00     1451     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<unsigned int const, session_value>, false, false>::_Node_const_iterator(std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false> const&)
  0.00      0.00     0.00     1449     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_remove_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*, unsigned long)
  0.00      0.00     0.00     1184     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>::operator++(int)
  0.00      0.00     0.00     1184     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<unsigned int const, session_value>, false>::_M_incr()
  0.00      0.00     0.00       71     0.00     0.00  strim_both(char*)
  0.00      0.00     0.00       70     0.00     0.00  IpsMatch::setRules(char*, char*, int)
  0.00      0.00     0.00       47     0.00     0.00  IpsMatch::convertValue(char*, char*, int)
  0.00      0.00     0.00       23     0.00     0.00  IpsMatch::inValue(int, char*, int)
